"filename", "language", "JSON", "JavaScript", "Ruby", "XML", "Objective-C", "C++", "Objective-C++", "Swift", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "Properties", "Groovy", "Batch", "comment", "blank", "total"
"/home/yacine/Downloads/rkhis/App.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 32
"/home/yacine/Downloads/rkhis/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 23, 54
"/home/yacine/Downloads/rkhis/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 68, 22, 177
"/home/yacine/Downloads/rkhis/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/yacine/Downloads/rkhis/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"/home/yacine/Downloads/rkhis/android/app/src/main/res/drawable/ic_launcher_background.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/yacine/Downloads/rkhis/android/app/src/main/res/drawable/rn_edit_text_material.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 38
"/home/yacine/Downloads/rkhis/android/app/src/main/res/values-night/colors.xml", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/yacine/Downloads/rkhis/android/app/src/main/res/values/colors.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/yacine/Downloads/rkhis/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/yacine/Downloads/rkhis/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"/home/yacine/Downloads/rkhis/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 3, 6, 42
"/home/yacine/Downloads/rkhis/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 33, 13, 57
"/home/yacine/Downloads/rkhis/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/home/yacine/Downloads/rkhis/android/gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 32, 22, 95
"/home/yacine/Downloads/rkhis/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"/home/yacine/Downloads/rkhis/app.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"/home/yacine/Downloads/rkhis/babel.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/yacine/Downloads/rkhis/components/AttractionCard.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/home/yacine/Downloads/rkhis/components/Collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"/home/yacine/Downloads/rkhis/components/EditProfileModal.js", "JavaScript", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 284
"/home/yacine/Downloads/rkhis/components/ExternalLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 3, 25
"/home/yacine/Downloads/rkhis/components/HapticTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 2, 19
"/home/yacine/Downloads/rkhis/components/HelloWave.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"/home/yacine/Downloads/rkhis/components/HotelCard.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/home/yacine/Downloads/rkhis/components/LanguageModal.js", "JavaScript", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 232
"/home/yacine/Downloads/rkhis/components/MapMarker.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/yacine/Downloads/rkhis/components/ParallaxScrollView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 7, 83
"/home/yacine/Downloads/rkhis/components/SearchBar.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 94
"/home/yacine/Downloads/rkhis/components/ThemedText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"/home/yacine/Downloads/rkhis/components/ThemedView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 5, 15
"/home/yacine/Downloads/rkhis/components/__tests__/ThemedText-test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/home/yacine/Downloads/rkhis/components/ui/IconSymbol.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"/home/yacine/Downloads/rkhis/components/ui/IconSymbol.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 9, 5, 44
"/home/yacine/Downloads/rkhis/components/ui/TabBarBackground.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 3, 23
"/home/yacine/Downloads/rkhis/components/ui/TabBarBackground.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"/home/yacine/Downloads/rkhis/constants/Colors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 3, 36
"/home/yacine/Downloads/rkhis/contexts/AuthContext.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 65
"/home/yacine/Downloads/rkhis/contexts/LanguageContext.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 190
"/home/yacine/Downloads/rkhis/contexts/SavedItemsContext.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 21, 145
"/home/yacine/Downloads/rkhis/contexts/SearchContext.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 69
"/home/yacine/Downloads/rkhis/contexts/ThemeContext.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/home/yacine/Downloads/rkhis/eas.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/yacine/Downloads/rkhis/firebase.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 40
"/home/yacine/Downloads/rkhis/hooks/useColorScheme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/yacine/Downloads/rkhis/hooks/useColorScheme.web.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 6, 22
"/home/yacine/Downloads/rkhis/hooks/useThemeColor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 4, 22
"/home/yacine/Downloads/rkhis/ios/BejaiaTourismApp/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/yacine/Downloads/rkhis/ios/BejaiaTourismApp/AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 63
"/home/yacine/Downloads/rkhis/ios/BejaiaTourismApp/BejaiaTourismApp-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/home/yacine/Downloads/rkhis/ios/BejaiaTourismApp/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/yacine/Downloads/rkhis/ios/BejaiaTourismApp/Images.xcassets/Contents.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/yacine/Downloads/rkhis/ios/BejaiaTourismApp/Images.xcassets/SplashScreenBackground.colorset/Contents.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
